"title"	"track_n"	"text"	"album"	"artist"
"121"	"Hateful"	4	"I've lost my memory (my mind)"	"London Calling"	"The Clash"
"122"	"Hateful"	4	"Behind"	"London Calling"	"The Clash"
"123"	"Hateful"	4	"I can't see so clearly"	"London Calling"	"The Clash"
"124"	"Hateful"	4	"Oh, anything I want he gives it to me"	"London Calling"	"The Clash"
"125"	"Hateful"	4	"Anything I want he gives it but not for free"	"London Calling"	"The Clash"
"126"	"Hateful"	4	"Oh, anything I want he gives it to me (Anything I want he gives it to me)"	"London Calling"	"The Clash"
"127"	"Hateful"	4	"Anything I want he gives it, but not for free (Anything I want he gives it to me)"	"London Calling"	"The Clash"
"128"	"Hateful"	4	"Anything I want, anything I want"	"London Calling"	"The Clash"
"129"	"Rudie Can't Fail"	5	"Sing, Michael, sing"	"London Calling"	"The Clash"
"130"	"Rudie Can't Fail"	5	"On the route of the 19 Bus"	"London Calling"	"The Clash"
"131"	"Rudie Can't Fail"	5	"We hear them sayin'"	"London Calling"	"The Clash"
"132"	"Rudie Can't Fail"	5	"How you get so rude and'a reckless?"	"London Calling"	"The Clash"
"133"	"Rudie Can't Fail"	5	"Don't you be so crude and'a feckless"	"London Calling"	"The Clash"
"134"	"Rudie Can't Fail"	5	"You been drinkin' brew for breakfast"	"London Calling"	"The Clash"
"135"	"Rudie Can't Fail"	5	"Rudie"	"London Calling"	"The Clash"
"136"	"Rudie Can't Fail"	5	" can't fail, no, no"	"London Calling"	"The Clash"
"137"	"Rudie Can't Fail"	5	"(We reply)"	"London Calling"	"The Clash"
"138"	"Rudie Can't Fail"	5	"I know that my life makes you nervous"	"London Calling"	"The Clash"
"139"	"Rudie Can't Fail"	5	"But I tell you that I can't live in service"	"London Calling"	"The Clash"
"140"	"Rudie Can't Fail"	5	"Like the doctor whose born for a purpose"	"London Calling"	"The Clash"
"141"	"Rudie Can't Fail"	5	"Rudie can't fail"	"London Calling"	"The Clash"
"142"	"Rudie Can't Fail"	5	"(Ok)"	"London Calling"	"The Clash"
"143"	"Rudie Can't Fail"	5	"I went to the market to realize (my soul)"	"London Calling"	"The Clash"
"144"	"Rudie Can't Fail"	5	"What I need (I just don't have) (Don't have)"	"London Calling"	"The Clash"
"145"	"Rudie Can't Fail"	5	"First they curse, then they press me 'til I hurt"	"London Calling"	"The Clash"
"146"	"Rudie Can't Fail"	5	"Rudie can't fail"	"London Calling"	"The Clash"
"147"	"Rudie Can't Fail"	5	"First you must cure your temper"	"London Calling"	"The Clash"
"148"	"Rudie Can't Fail"	5	"Then find a job in a paper"	"London Calling"	"The Clash"
"149"	"Rudie Can't Fail"	5	"You need someone for a savior"	"London Calling"	"The Clash"
"150"	"Rudie Can't Fail"	5	"Rudie can't fail"	"London Calling"	"The Clash"
"151"	"Rudie Can't Fail"	5	"(We reply)"	"London Calling"	"The Clash"
"152"	"Rudie Can't Fail"	5	"Now we get a'rude and a'reckless"	"London Calling"	"The Clash"
"153"	"Rudie Can't Fail"	5	"To been seen looking cool and speckless"	"London Calling"	"The Clash"
"154"	"Rudie Can't Fail"	5	"An' drinking brew for breakfast"	"London Calling"	"The Clash"
"155"	"Rudie Can't Fail"	5	"Rudie can't fail (oh no)"	"London Calling"	"The Clash"
"156"	"Rudie Can't Fail"	5	"I went to the market to realize (my soul)"	"London Calling"	"The Clash"
"157"	"Rudie Can't Fail"	5	"'Cause what I need (I just don't have) (Don't have)"	"London Calling"	"The Clash"
"158"	"Rudie Can't Fail"	5	"First they curse, then they press me 'til I hurt"	"London Calling"	"The Clash"
"159"	"Rudie Can't Fail"	5	"Rudie can't fail"	"London Calling"	"The Clash"
"160"	"Rudie Can't Fail"	5	"Ok, ok"	"London Calling"	"The Clash"
"161"	"Rudie Can't Fail"	5	"So where you wanna go today?"	"London Calling"	"The Clash"
"162"	"Rudie Can't Fail"	5	"Hey boss man, huh, yeah"	"London Calling"	"The Clash"
"163"	"Rudie Can't Fail"	5	"So you're looking pretty smart (Chicken skin suit) with a chicken skin suit"	"London Calling"	"The Clash"
"164"	"Rudie Can't Fail"	5	"You think you're pretty hot (Pork pie hat) in your pork pie hat"	"London Calling"	"The Clash"
"165"	"Rudie Can't Fail"	5	"Rudie can't fail (x13)"	"London Calling"	"The Clash"
"166"	"Spanish Bombs"	6	"(Verse 1)"	"London Calling"	"The Clash"
"167"	"Spanish Bombs"	6	"Spanish songs in Andalucia"	"London Calling"	"The Clash"
"168"	"Spanish Bombs"	6	"The shooting sites in the days of '39"	"London Calling"	"The Clash"
"169"	"Spanish Bombs"	6	"Oh, please, leave the ventana open"	"London Calling"	"The Clash"
"170"	"Spanish Bombs"	6	"Fredrico Lorca is dead and gone"	"London Calling"	"The Clash"
"171"	"Spanish Bombs"	6	"Bullet holes in the cemetery walls"	"London Calling"	"The Clash"
"172"	"Spanish Bombs"	6	"The black cars of the Guardia Civil"	"London Calling"	"The Clash"
"173"	"Spanish Bombs"	6	"Spanish bombs on the Costa Rica"	"London Calling"	"The Clash"
"174"	"Spanish Bombs"	6	"I'm flyin' in a DC 10 tonight"	"London Calling"	"The Clash"
"175"	"Spanish Bombs"	6	"(Chorus)"	"London Calling"	"The Clash"
"176"	"Spanish Bombs"	6	"Spanish bombs, yo te quiero infinito"	"London Calling"	"The Clash"
"177"	"Spanish Bombs"	6	"Yo te quiero, oh mi corazon"	"London Calling"	"The Clash"
"178"	"Spanish Bombs"	6	"Spanish bombs, yo te quiero infinito"	"London Calling"	"The Clash"
"179"	"Spanish Bombs"	6	"Yo te quiero, oh mi corazon"	"London Calling"	"The Clash"
"180"	"Spanish Bombs"	6	"Spanish weeks in my disco casino"	"London Calling"	"The Clash"
"181"	"Spanish Bombs"	6	"The freedom fighters died upon the hill"	"London Calling"	"The Clash"
"182"	"Spanish Bombs"	6	"They sang the red flag"	"London Calling"	"The Clash"
"183"	"Spanish Bombs"	6	"They wore the black one"	"London Calling"	"The Clash"
"184"	"Spanish Bombs"	6	"After they died it was Mockingbird Hill"	"London Calling"	"The Clash"
"185"	"Spanish Bombs"	6	"Back home the buses went up in flashes"	"London Calling"	"The Clash"
"186"	"Spanish Bombs"	6	"The Irish tomb was drenched in blood"	"London Calling"	"The Clash"
"187"	"Spanish Bombs"	6	"Spanish bombs shatter the hotels"	"London Calling"	"The Clash"
"188"	"Spanish Bombs"	6	"My senorita's rose was nipped in the bud"	"London Calling"	"The Clash"
"189"	"Spanish Bombs"	6	"(Chorus)"	"London Calling"	"The Clash"
"190"	"Spanish Bombs"	6	"Spanish bombs, yo te quiero infinito"	"London Calling"	"The Clash"
"191"	"Spanish Bombs"	6	"Yo te quiero, oh mi corazon"	"London Calling"	"The Clash"
"192"	"Spanish Bombs"	6	"Spanish bombs, yo te quiero infinito"	"London Calling"	"The Clash"
"193"	"Spanish Bombs"	6	"Yo te quiero, oh mi corazon"	"London Calling"	"The Clash"
"194"	"Spanish Bombs"	6	"The hillsides ring with \"Free the people\""	"London Calling"	"The Clash"
"195"	"Spanish Bombs"	6	"Or can I hear the echo from the days of '39?"	"London Calling"	"The Clash"
"196"	"Spanish Bombs"	6	"With trenches full of poets"	"London Calling"	"The Clash"
"197"	"Spanish Bombs"	6	"The ragged army, fixin' bayonets to fight the other line"	"London Calling"	"The Clash"
"198"	"Spanish Bombs"	6	"Spanish bombs rock the province"	"London Calling"	"The Clash"
"199"	"Spanish Bombs"	6	"I'm hearin' music from another time"	"London Calling"	"The Clash"
"200"	"Spanish Bombs"	6	"Spanish bombs on the Costa Brava"	"London Calling"	"The Clash"
"201"	"Spanish Bombs"	6	"I'm flyin' in on a DC 10 tonight"	"London Calling"	"The Clash"
"202"	"Spanish Bombs"	6	"(Chorus)"	"London Calling"	"The Clash"
"203"	"Spanish Bombs"	6	"Spanish bombs, yo te quiero infinito"	"London Calling"	"The Clash"
"204"	"Spanish Bombs"	6	"Yo te quiero, oh mi corazon"	"London Calling"	"The Clash"
"205"	"Spanish Bombs"	6	"Spanish bombs, yo te quiero infinito"	"London Calling"	"The Clash"
